期号,日期,标题,主播,嘉宾,主题,关键词,文件名
第26期,2022-08-22,Evil.js 是真的邪恶,李俊、王老师、老庄,,这期我们聊了程序员反击“996”的努力和其中走偏了的一些事儿，还聊了越来越严峻的信息安全形势。,开源；软件开发；媒体与信息,zvnFkZDMFGmufPjy.mp3.srt
第27期,2022-08-29,从竞赛活动看中小学教育,李俊、王老师、老庄,,这期我们从教育部最新公示的中小学竞赛活动名单出发聊了聊我们对中小学教育的看法，在此之前还点评了好几件时事，比如任老板传给每个人的寒气、NASA的“虚假广告”、以及“新版红绿灯”带来的后真相魔幻剧。,互联网与平台；教育与学习；媒体与信息,DKcydKZpYsBvaQvs.mp3.srt
番外09,2022-09-01,和 David 一起学习互联网野史,李俊、王老师、老庄,李大维（David）,来和 David 一起学习互联网野史吧！,互联网与平台；教育与学习；历史与文化,waJeYXuPjVgYpckW.mp3.srt
第28期,2022-09-05,载人登月·显卡断供·无人机打卡,李俊、王老师、老庄,,这期我们聊了东软的核酸检测系统、AI艺术创作爆发式发展、新一轮载人登月大赛、高端计算芯片断供和金门赛博打卡几件事，还有本月的荐书。,人工智能；经济与产业；航天与军事；游戏与文娱,XWqwASRLdKkkeUeX.mp3.srt
第29期,2022-09-12,缅怀10年代那个创新乌托邦,李俊、王老师、老庄,,这期我们重点缅怀了一下我和老庄待过的那个很独特的创新院，除此以外还聊了英女王去世及网络观点多元化、科研新举国体制、以及高等教育里的文理之争。,教育与学习；经济与产业,HGzvAjWZzKNzcVbR.mp3.srt
第30期,2022-09-18,人工智能大战考试作弊？,李俊、王老师、老庄,,这期我们聊了道德底线的定义、羊了个羊、我们办学术期刊的挑战、越来越卷的大学社媒运营、以太坊矿工潮，还有考试作弊与发作弊大战。,人工智能；教育与学习,jbsTwJQGEEdYAPtR.mp3.srt
第31期,2022-09-26,开源生态和AI监工,李俊、王老师、老庄,,这期我们聊了北方的战争形势展望、开源许可证、Tea.xyz 项目的意义以及人工智能监工。,人工智能；开源；航天与军事,XbKvNuJCFMdaMzbH.mp3.srt
第32期,2022-10-04,国庆长假聊旅游与美食,李俊、王老师、老庄,,朋友们国庆快乐鸭！我们在长假第四天碰头聊了聊北溪管道迷案、旅游与美食、还有电子书设备是不是真该消亡的话题。,社会生活,AcRVxFYbDDxGhZee.mp3.srt
第33期,2022-10-09,手整体插在口袋里的人过分自信,李俊、王老师、老庄,,今天我们聊了最新的克里米亚大桥事件、Google用AI开发算法的成果、中美之间的语言鸿沟，还有其他一些小话题，最后有本月的荐书。,人工智能；软件开发；互联网与平台,EtMDASPkjwSYyRwr.mp3.srt
第34期,2022-10-15,年度综艺大戏诺贝尔奖,李俊、王老师、老庄,,这期我们重点聊了年度综艺大戏，2022年度的诺贝尔奖，还顺便说了下近期比较有意思的几个AI项目、升级的中美芯片战还有开源界最近的一个和政治有关的小风波。,人工智能；开源；经济与产业；数据与科学；媒体与信息,CUdwvsvAjundTNGt.mp3.srt
第35期,2022-10-23,你的数字素养够用吗,李俊、王老师、老庄,,这期我们重点聊了未来我们国家会非常认真去做的一个数字能力提升的工作，还有你可能不知道的微信秘辛，顺便跟进了马老板和小蓝鸟的故事、以及 Copilot 是非的最新进展。,人工智能；互联网与平台；教育与学习；社会生活,xVaAuqGpVTmrpukr.mp3.srt
第36期,2022-10-30,准备好面试了吗,李俊、王老师、老庄,,这期我们重点聊了聊关于面试的话题，另外还谈了下马老板收购小蓝鸟之后可能的发展、在软件侵权案中发挥了大作用的GPL协议，还有开源社这些年办的开源年会。,开源；软件开发；互联网与平台；经济与产业,dNTQSHjKtpyEyAqg.mp3.srt
第37期,2022-11-06,和西乔霍炬一起聊AI艺术,李俊、王老师、老庄,西乔、霍炬,这一期的嘉宾是西乔和霍炬，我们一起聊了关于AI艺术创作的话题，还代表苹果遗老界疯狂吐槽了这些年的苹果。,人工智能；互联网与平台；游戏与文娱,GxAnfwmXCFQCGpfy.mp3.srt
第38期,2022-11-13,编程语言排行榜,李俊、王老师、老庄,,这一期内容有近期的网络暴力事件、可能出现的互联网泡沫爆炸以及编程语言排行榜漫谈，还有十一月的荐书。,软件开发；互联网与平台；媒体与信息,YWsMhQDBQyECbMcn.mp3.srt
第39期,2022-11-20,劳动法和互联网寒冬,李俊、王老师、老庄,,这期我们主要聊了快满30岁的劳动法以及互联网行业越来越强烈的寒意，还简单说了说新发现的AI绘画实例和暴雪网易分手的事。,人工智能；互联网与平台；法律与治理,JmTfbnfPgaTQyvFL.mp3.srt
第40期,2022-11-27,人月神话与软件工程,李俊、王老师、老庄,,上周《人月神话》作者 Frederick Brooks 去世了，本期我们用一些关于软件工程的思考和讨论来表达对老爷子的敬意和哀思，另外还顺便聊了聊世界杯新科技带来的观赛新体验。,软件开发；国际政治；体育,kpmUbUheUdYzcDbC.mp3.srt
第41期,2022-12-04,当人工智能碰到竞技体育,李俊、王老师、老庄,,这期我们继续进行软件工程讨论的下半场，另外还聊了人工智能和体育竞技的碰撞（足球和围棋）、以及年末年会与颁奖季体现出来的某种“数字鸿沟”。,人工智能；软件开发；体育,fXDCwrLxyDwGDbzc.mp3.srt
第42期,2022-12-11,OpenAI真的很会啊,李俊、王老师、老庄,,这期我们主要聊了近期大火的ChatGPT和某芯片厂，还有十二月的荐书。,人工智能；经济与产业,KemUxVEFVgypXhvB.mp3.srt
第43期,2022-12-18,三体动画版和通识教育,李俊、王老师、老庄,,这期我们主要来聊通识教育，另外还有三体动画版。,教育与学习；历史与文化,fWYRWWggRQyaYhGT.mp3.srt
第44期,2022-12-25,再见 2022，你好 2023！,李俊、王老师、老庄,,这期是我们2022年的最后一期节目，我们聊了中央关于数据基础制度的文件、崛起大国印度以及老庄的开源知识图谱项目，还做了我们各自的新年期待与展望。,开源；数据与科学；节目与社群,nadzgDWeuDWFNTpM.mp3.srt
第45期,2023-01-01,知网、ChatBCG和东野圭吾,李俊、王老师、老庄,,各位朋友新年好！新年第一期我们聊了B站跨年晚会、Google开源漏洞扫描工具、知网被罚、ChatBCG和办公软件，还有一份东野圭吾避雷指南。,开源；软件开发；互联网与平台；法律与治理；历史与文化,adVrdrBARMwbEByf.mp3.srt
第46期,2023-01-08,教育、市场和AI,李俊、王老师、老庄,,这期我们回应了听友关于教育和医疗市场化的疑问，聊了新华社专访三体动画主创团队以及近期关于ChatGPT的几个有意思的新闻，还有一月份的荐书。,人工智能；教育与学习；经济与产业；媒体与信息；历史与文化；节目与社群,sGDepSaPXkjdsrDK.mp3.srt
第47期,2023-01-15,给大家拜个早年,李俊、王老师、老庄,,农历新年之前最后一期，我们给大家拜个早年！,综合话题,GxFcRfwuXZYghdKL.mp3.srt
第48期,2023-01-29,真有毫无意义的工作吗,李俊、王老师、老庄,,大家新年快乐！兔年的第一期节目，我们聊了今年的春节感受、畅销书《毫无意义的工作》、被大家狂吐槽的大学教材，还有流浪地球2。,教育与学习；游戏与文娱；社会生活；节目与社群,NvJjaELEAWeUpKvS.mp3.srt
第49期,2023-02-05,没有球的元宵节毫无意义,李俊、王老师、老庄,,朋友们元宵节快乐！这一期我们继续聊流浪地球和……流浪气球，还聊了推特的跳船潮，以及2022中国开源年度报告。,开源；互联网与平台；国际政治；游戏与文娱；社会生活,QDmHGxZHWhBnsfKx.mp3.srt
第50期,2023-02-12,流浪地球2背后的工业化和工程管理,李俊、王老师、老庄,,这一期我们简单聊了下美老牌记者揭秘北溪二号事件，流浪地球2观影感受完结篇，还有本月的荐书。,软件开发；游戏与文娱,FCMZHmyUtTfvjkJM.mp3.srt
第51期,2023-02-20,ChatGPT展示的未来,李俊、王老师、老庄,,本期我们深入分析了ChatGPT的真实能力以及它揭示出的未来，可能性、令人兴奋和令人担忧的种种。除此之外也顺便聊了下俄亥俄危化品泄露事件和最近透露出来球二传说中剪掉的80分钟。,人工智能；社会生活,FkLkWPySrWUnYUSx.mp3.srt
第52期,2023-02-26,大变与大争之世来了吗,李俊、王老师、老庄,,今天我们回应了上期节目播出之后大家关于AI的几个问题，聊了证监会反迷信和三体电视剧，还结合国际大格局的变化聊了新时代科技行业的破局可能。,人工智能；历史与文化；节目与社群,JBNrQbXgAKVgRYeg.mp3.srt
第53期,2023-03-05,又到每年两会时,李俊、王老师、老庄,,今天我们重点聊了聊数字中国建设整体布局规划和今年两会的一些有意思的代表提案。,国际政治,yVghNDpNhkNWPNGb.mp3.srt
第54期,2023-03-12,预测未来还是创造未来,李俊、王老师、老庄,,周年活动问卷：https://wj.qq.com/s2/11875744/9c7b/,社会生活；节目与社群,sEFpxaXGsmHUPMBH.mp3.srt
第55期,2023-03-19,越学习越快乐,李俊、王老师、老庄,,这期我们聊了一些AI产品的新进展、Docker团队新的迷惑操作，还有我们怎么自学新东西。,人工智能；软件开发；教育与学习,qRwQNkPxzwTWcTQG.mp3.srt
特别篇·一周年,2023-03-27,一周年活动实录,李俊、王老师、老庄,听友,一周年线上活动全程实录，回应了听友的建议和共性话题，聊了近期的一些热点话题和听友点聊的话题，最后还有自由互动问答。,节目与社群,QtDNGycdSgfVyTqW.mp3.srt
第56期,2023-04-02,摩尔老师走好 摩尔定律永生,李俊、王老师、老庄,,本期主话题是借着缅怀戈登·摩尔老先生的机会，讲了讲集成电路产业诞生的历史、八卦以及对今天的影响；其他方面，近期关于ChatGPT和OpenAI的争议渐渐浮出水面，我们分析了可能的影响及趋势，另外简单跟进了一下以前聊过的知网、短视频内容监管及暴雪网易等话题的最新进展。,人工智能；教育与学习；法律与治理；经济与产业；数据与科学；媒体与信息,rvJDZaXYxBrNhuJS.mp3.srt
第57期,2023-04-09,好学韭菜的防割指南,李俊、王老师、老庄,,这期我们聊了阿里组织变革及业务中台的命运、近期关于加班和微信聊天截图的瓜、听友群里冒出来的帮助好学韭菜的话题，还有四月的荐书。,社会生活；节目与社群,DyGWRLBFMgxERXFJ.mp3.srt
第58期,2023-04-16,人工智能该怎么帮我们,李俊、王老师、老庄,,这期我们又回到了近期避不开的人工智能话题，包括一些最新的玩法和进展（AutoGPT、Generative Agents、Pythia、Open-Assistant、AmyMind等），也包括对我们自己节目第一期内容的考古，以及人工智能到底能够和应该怎么帮助人类。,人工智能；媒体与信息；历史与文化；节目与社群,pie-ep58.mp3.srt
第59期,2023-04-23,科普的又一春来了,李俊、王老师、老庄,,这期我们回应了听友关于高考和志愿填报的困惑，还有科普法修订带来的一些思考和期许；当然也顺便聊了下近期两个形成鲜明对比的瓜。,教育与学习；节目与社群,pie-ep59.mp3.srt
第60期,2023-04-29,互联网广告的那些事,李俊、王老师、老庄,,大家五一节快乐！这一期我们仨异地录制，主要应听友要求聊了手机广告的那些事儿，缅怀逝去的天涯论坛，以及关于开源与商业模式的一些思考。,开源；互联网与平台；节目与社群,pie-ep60.mp3.srt
第61期,2023-05-07,操作系统怎么才算“国产”,李俊、王老师、老庄,,这一期我们聊了 Google 内部文件揭示的AI研发困局、Chris Lattner 的新编程语言、淄博烧烤背后的工业化和文化底蕴，以及应听友要求谈了谈到底什么样的操作系统才算“国产操作系统”，还有五月的荐书。,人工智能；软件开发；互联网与平台；历史与文化；节目与社群,pie-ep61.mp3.srt
第62期,2023-05-14,智能家居和开会难,李俊、王老师、老庄,,今天我们聊了 OPPO 终止自研芯片业务、卫sir新文《开源世界的尴尬时刻》、智能家居的现状及展望，还有开会到底难在哪里。,开源；国际政治；经济与产业,pie-ep62.mp3.srt
第63期,2023-05-21,AIGC基准测试和输入法历史,李俊、王老师、老庄,,今天我们聊了塞尔达、近期AI新闻、左耳朵耗子和中文输入法的历史。,人工智能；软件开发；数据与科学；媒体与信息；历史与文化,pie-ep63.mp3.srt
第64期,2023-05-29,航天·航空·产品观,李俊、王老师、老庄,,这期我们聊了我们仨周末的见闻感想，和航天、航空有关的新闻，还有我们的产品方法和价值观。,软件开发；媒体与信息；航天与军事,pie-ep64.mp3.srt
第65期,2023-06-05,AIGC的应用场景,李俊、王老师、老庄,,又到高考季，祝福所有参加高考学子及亲友们！,人工智能；教育与学习,pie-ep65.mp3.srt
第66期,2023-06-10,野生名号鉴定,李俊、王老师、老庄,,这期我们聊了最近广东电信的故障、苹果新发布的 Vision Pro、高考命题，还对如何鉴定江湖名号和与非技术人聊技术创新给出了一些建议，当然，还有六月的荐书。,互联网与平台；教育与学习,pie-ep66.mp3.srt
第67期,2023-06-18,预防掉进数据陷阱,李俊、王老师、老庄,,这期我们聊了疫情后的线下社交、反网暴、村超足球、北美贴吧，还有怎么预防掉进数据陷阱。,数据与科学；体育；社会生活,pie-ep67.mp3.srt
第68期,2023-06-25,编程语言与盗版,李俊、王老师、老庄,,这期我们点评了近期几个奇葩的大瓜，然后聊了毕业季、编程语言的选择和盗版的种种。,软件开发,pie-ep68.mp3.srt
第69期,2023-07-01,工程思维与社群教育,李俊、王老师、老庄,,这期我们照例有“透过吃瓜看门道”的环节，然后王老师分享了关于国内做科研工业软件替代的一些见闻，最后聊了聊工程思维与社群教育的话题。,软件开发；教育与学习；节目与社群,pie-ep69.mp3.srt
第70期,2023-07-09,重新上路的互联网金融与高等教育,李俊、王老师、老庄,,这期我们点评了科技行业的三个新瓜，结合近期监管部门公布的信息谈了互联网金融发展的转折点，然后聊了两个高等教育的话题：10年培养60万博士到底多不多，以及艰难起步的“微专业”。,互联网与平台；教育与学习；法律与治理；经济与产业；媒体与信息,pie-ep70.mp3.srt
第71期,2023-07-16,读书会与颜宁之问,李俊、王老师、老庄,,这期老庄给我们分享了他参加各种读书会的体验，然后从IMO和颜宁之问出发聊了我们对顶尖科学精英培养的一些思考，还有七月的荐书。,数据与科学；历史与文化,pie-ep71.mp3.srt
第72期,2023-07-23,有组织科研和数字化转型,李俊、王老师、老庄,,这期我们主要聊了知乎、有组织科研和企业数字化转型。,软件开发；教育与学习,pie-ep72.mp3.srt
第73期,2023-07-30,外星人与教育家,李俊、王老师、老庄,,这一期我们聊了Twitter改名、常温超导可能的新突破、个人密码管理、UFO与外星人，还有教育界的一些酷炫词儿。,互联网与平台；教育与学习；数据与科学,pie-ep73.mp3.srt
第74期,2023-08-06,常温超导大事件的背后,李俊、王老师、老庄,,这期我们重点聊了上周常温超导大事件背后的一些思考，以及AI时代学外语用外语的新思路，还有八月的荐书。,人工智能；数据与科学,pie-ep74.mp3.srt
第75期,2023-08-14,科技媒体最好有点追求,李俊、王老师、老庄,,这期我们聊了LK99尾声、移动应用备案、国产光刻机，还集中吐槽了一批科技媒体文章，最后稍微点评了下“核心价值观”事件。,媒体与信息,pie-ep75.mp3.srt
第76期,2023-08-20,行业毒瘤和毒瘤行业,李俊、王老师、老庄,,这期我们聊了博德之门3、上海书展背后的数字鸿沟、暑期档电影，还有近期引起关注的一些行业毒瘤和毒瘤行业。,游戏与文娱,pie-ep76.mp3.srt
第77期,2023-08-27,关于真理和正义的战役,李俊、王老师、老庄,,这期我们聊了 Adobe 的联合创始人 John Warnock 博士、辣个男人的回归、自动跳过开屏广告的工具、CEC-IDE 闹剧的背后、核污水排放，还有大模型焦虑症。,人工智能；软件开发；互联网与平台；媒体与信息,pie-ep77.mp3.srt
第78期,2023-09-03,华为的“偷袭”,李俊、王老师、老庄,,这期我们聊了国产编程语言 MoonBit、第一批持证上岗的国产大模型、华为 Mate60 Pro 的“偷袭”，还有集成开发环境（IDE）的历史及展望。,人工智能；软件开发；互联网与平台；历史与文化,pie-ep78.mp3.srt
第79期,2023-09-10,教师节聊聊老师们的苦恼,李俊、王老师、老庄,,这期我们聊了后疫情时代复兴的各种技术活动、当代学生和老师们面临的难题，还有近期国内开源界两个有意思的事件。,开源；教育与学习；社会生活,pie-ep79.mp3.srt
第80期,2023-09-17,数字教育的新探索,李俊、王老师、老庄,,这期我们重点聊了下我们正在做的数字教育新探索，顺便聊了近期几个瓜（外星人、带货网红、华为苹果和 Unity），还有九月的荐书。,互联网与平台；教育与学习；媒体与信息,pie-ep80.mp3.srt
第81期,2023-09-25,程序员的自我修养,李俊、王老师、老庄,,这期我们聊了空军飞行员强行提前下班的后果、造车的强行造手机的后果、某名校击杀英语四六级考试的后果、任老师接受专访的后果……以及好程序员的自我修养。,软件开发；教育与学习,pie-ep81.mp3.srt
第82期,2023-09-30,你穿越了吗,李俊、王老师、老庄,,中秋国庆长假之际，祝大家双节快乐！这期我们聊了杭州亚运和电竞、开源商业路径求索、华师研究生关于师生关系的论文，还有各种穿越文学。,开源,pie-ep82.mp3.srt
第83期,2023-10-07,双节吃瓜会,李俊、王老师、老庄,,这期我们聊了米国大瓜、诺贝尔奖、BingChat画图、知网与开源还有东芝退市。,开源；法律与治理；数据与科学,pie-ep83.mp3.srt
第84期,2023-10-15,愿世界和平,李俊、王老师、老庄,,这期我们聊了近期的几个小瓜、从诺贝尔经济学奖想到的女性同行大牛、近期的大事，当然还有十月的荐书。,国际政治；经济与产业；数据与科学,pie-ep84.mp3.srt
第85期,2023-10-22,更多选择更多快乐,李俊、王老师、老庄,,这期我们聊了加沙冲突背后的舆论风向变化、对我们高端芯片的进一步限制、年末聚会季、想取代GitHub的产品们、还有鸿蒙和澎湃带来对Android生态细分的思考，科技行业的合久必分分久必合，经常给我们带来更多选择，是好事。,开源；软件开发；经济与产业,pie-ep85.mp3.srt
第86期,2023-10-30,庄与王的年末大会乱弹,王老师、老庄,,这期我们简单介绍了大家都不认识的 Mike Johnson 和成都刚举办的世界科幻大会，还聊了新挂牌的国家数据局、老庄和王老师的各种参会（办会）感受，以及人工智能与码农的事儿。,人工智能；教育与学习；国际政治；数据与科学,pie-ep86.mp3.srt
第87期,2023-11-05,集中吐槽热门文章,李俊、王老师、老庄,,这期我们聊了前台实名和众创空间，集中吐槽了两篇很有代表性的热门文章，最终终于还了个债，把群里听友点的关于知识管理的话题说了。,节目与社群,pie-ep87.mp3.srt
第88期,2023-11-12,技术人活该发不了财,李俊、王老师、老庄,,这期我们聊了技术大佬与区块链、VR游戏与VR游戏社区以及网络人设的风险，当然，还有十一月的荐书。,游戏与文娱,pie-ep88.mp3.srt
第89期,2023-11-18,基础在民间，未来在青年,李俊、王老师、老庄,,这一期节目我们聊了OpenAI的管理层惊变、iOS即将支持的app side loading、零一万物的套壳风波、旧金山看什么、阿里云的史诗级故障，还分享了一位同学的精彩吐槽。,人工智能；软件开发；社会生活；节目与社群,pie-ep89.mp3.srt
第90期,2023-11-26,忍不住要阴谋论啦,李俊、王老师、老庄,,这期我们聊了新一届两院院士评选、魔幻的OpenAI宫斗、斗鱼创始人的官司以及国家对开源的政策支持，最后应听友要求分享了一些我们写代码时的偏好与习惯。,人工智能；开源；软件开发；法律与治理；媒体与信息；节目与社群,pie-ep90.mp3.srt
